1430690166 || [Thread:1] || INFO || Server defaultName: Server connection established
1430690166 || [Thread:9] || INFO || Server defaultName: New incoming connection accepted from localhost
1430690166 || [Thread:1] || INFO || CONTROL: connecting to referralName at 0, client: false
1430690166 || [Thread:1] || INFO || Sending Message to referralName:	defaultName--JOIN--ADD_NODE==defaultName==localhost==2
1430690166 || [Thread:12] || INFO || Starting entropy thread
1430690166 || [Thread:12] || INFO || randomly chose referralName
1430690166 || [Thread:12] || INFO || Sending Message to referralName:	defaultName--ENTROPY_REQUEST--0;;;0=0:
1430690166 || [Thread:9] || INFO || Server defaultName: New incoming connection accepted from localhost
1430690166 || [Thread:11] || INFO || Starting message thread
1430690166 || [Thread:11] || FINE || Trying to parse: 0--NAME--<3,0>
1430690166 || [Thread:11] || INFO || Have been named: <3,0>
1430690166 || [Thread:11] || INFO || done naming
1430690166 || [Thread:11] || INFO || randomly chose 0
1430690166 || [Thread:11] || INFO || Sending Message to 0:	<3,0>--ENTROPY_REQUEST--0;;;0=0:<3,0>=0:
1430690166 || [Thread:9] || INFO || Server defaultName: New incoming connection accepted from localhost
1430690166 || [Thread:11] || FINE || Trying to parse: client4--CONNECT--4
1430690166 || [Thread:11] || INFO || Connected to client 4
1430690166 || [Thread:11] || INFO || CONTROL: connecting to client4 at 4, client: true
1430690166 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_COMMAND---1~~1~~0~~ADD_NODE==0==localhost==0
1430690166 || [Thread:11] || INFO || Performing: -1~~1~~0~~ADD_NODE==0==localhost==0
1430690166 || [Thread:11] || INFO || pastbreak
1430690166 || [Thread:11] || WARNING || already connected to process 0
1430690166 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_COMMAND--1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430690166 || [Thread:11] || INFO || Can't commit yet: 1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430690166 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_COMMAND--2~~3~~0~~ADD_NODE==<3,0>==localhost==2
1430690166 || [Thread:11] || INFO || Can't commit yet: 2~~3~~0~~ADD_NODE==<3,0>==localhost==2
1430690166 || [Thread:11] || FINE || Trying to parse: 0--ENTROPY_COMMAND---1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430690166 || [Thread:11] || INFO || Performing: -1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430690166 || [Thread:11] || INFO || pastbreak
